ngoid,state,district,ngoname,orgemail,physicaladdress,officephone,orgtype,chairmanname
339, Rajasthan ,Sirohi,Sanskar Shaikshik Punarvas Evam Anusandhan Sansthan,dciedssbk@gmail.com,"House No. 40, Santi Vihar Colony, Ricco Industries Areamandar, Mandar - 307513", 9904-538217 , Niramaya,Chaudhari Rameshbhai
340, Rajasthan ,Jaipur,Umang Centre for Special Education,umangjaipur@gmail.com,"00, Shipra Path, Mansarovarnear Technology Park, Jaipur - 302020", 9314-878251 ,"Badhte Kadam,Prerna Niramaya",Mrs. Deepak Kalra
341, Rajasthan ,Bhilwara,Sona Viklang Punervas Avom Sodh Sansthan,svnbhilwara@gmail.com,"Near Noble School, Kuwada Road200 Fit Byepass, Bhilwara - 311001", 9414-112526 ,,Prem Kumar Jain
342, Rajasthan ,Dausa,Deep Vidhya Mandir Samiti,dvmsngo@yahoo.co.in,"000, Gayatri Nagardausa, Dausa - 303303", 9414-035821 ,"Disha,Samarth,Badhte Kadam",Mr. Nawal Kishor Bhankari
343, Rajasthan ,Jaipur,Approach Autism Society,approach.autism@gmail.com,"M 2161 A, Rangoli Gardens, Maharana Pratap Marg, Panchyawalanear Vaishali Nagar, Jaipur - 302034", 9214-309551 , Niramaya,Anurag Srivastava
344, Rajasthan ,Ajmer,Jyotirgamay Seva Sansthan,jyotirgamayss@gmail.com,"001, Vamdev Marg Bharat Seva Sharm Shang, Pushkarpushkar, Ajmer - 305022", 9602-058320 ,,Ved Prabha Sen
345, Rajasthan ,Jhunjhunu,Asha Ka Jharna,sudeepgo@rediffmail.com,"Ward No 5, Harlal Ka Kothinawalgarh, Nawalgarh - 333042", 9414-036896 ,,Sudeep Goyal
346, Rajasthan ,Jhunjhunu,Maa Sewa Sansthan,saralasaini68@gmail.com,"121, Maa Mungi By Pass Road Gothragothra, Khetri Nagar - 333504", 9636-749124 ,,Dr. Indu Saini
347, Sikkim ,East Sikkim,Kalpataru Pratisthan,kalpatarupratisthan@rediffmail.com,"125, Raley Samdong Link Roadnear Kamaleshwar Shivalaya Mandir, Kambal, Gangtok - 737107", 7602-862291 ,,Ganga Prasad Bhattarai
348, Tamil Nadu ,Tirunelveli,Amar Seva Sangam,mail@amarseva.org,"7-4-104B, Sulochana Gardenstenkasi Road, Ayikudy, Ayikudy, Tirunelveli - 627852", 9944-454170 , Niramaya,S Sankara Raman
349, Tamil Nadu ,Sivgangai,Nambikkai Special School for Mentally Retarded run by Vasantham Mahalir Munnetra Sangam,svgavmms@gmail.com,"25, Sowgathali Streetnehru Bazzar, Sivaganga - 630561", 9865-348316 ,,Mr.M.Ganesan
350, Tamil Nadu ,Dindigul,Arvi Special School A Unit Of Association for Rehabilitation Of Village Impairment,arvitrust@gmail.com,"2/917, Opp To Om Shakthi Temple, Seelapadi Post,Dindigul, Dindigul - 624005", 9843-160475 ,"Badhte Kadam,Disha,Sahyogi",A Ramachandran
351, Tamil Nadu ,Nagapattinam,Mahaishwar Parent Training Centre for Persons With Disabilities,mahaishwarcentre@gmail.com,"3E, N0.1, Puthu Street,Mailaduthurai, Mailaduthurai - 609001", 9842-491956 ,,T.Kunguma Eswari
352, Tamil Nadu ,Kanyakumari,Rural Community Development Of India Rucode India,rucode@rediffmail.com,"479, Municipal Colonyhousing Board, Nagercoil, Nagercoil - 629004", 9443-283699 ,Sahyogi Niramaya,Maria Aloysius Novemoney
353, Tamil Nadu ,Ranipet,Nesam the School for Special Education,veeraraghavan_srinivasan@yahoo.com,"66/61, Vellore Main Roadnear Anna Statue, Arcot - 632503", 9789-827865 ,,K.V. Srinivasan
354, Tamil Nadu ,Coimbatore,Vidya Vikasini Opportunity School A Unit Of Vidya Vikasini Society,vvadmn@yahoo.co.in,"66 D, C/O - Vidya Vikasini Opportunity School66-D, Mettupalayam Road, Thudiyalur Post, Coimbatore - 641034", 9865-996585 ,"Badhte Kadam,Samarth",Mr.T.V.Suresh
355, Tamil Nadu ,Cuddalore,Global Special School for the Mentally Challenged. A Unit Of Global Trust for the Differently Abled,globaltrust2014gk@yahoo.com,"No 77 4Th Cross Street, Subburayalunagar Thiruppapuliyurthiruppapuliyur Railway Station, Cuddalore - 607002", 9345-216488 ,"Badhte Kadam,Samarth",M Kumudham
356, Tamil Nadu ,Dindigul,Udayam Special School for Intellectual Disabled A Unit Of Udayam Charitable Trust,udayamdgl@gmail.com,"107/3, Anna Nagar, Velampatty (Po) Natham (Tk), Dindigulback To Union Office, Dindigul - 624401", 9043-560475 ,,Ramachandran
357, Tamil Nadu ,Chennai,Pathway Centre for Rehabilitation and Education for Mentally Retarded A Unit Of Dr. D. M. C. Trust,pathwaychandra@gmail.com,"E-76/1, 12Th West Streetkamaraj Nagar, Thiruvanmiyur, Chennai - 600041", 9840-121859 ,,Chandra Prasad
358, Tamil Nadu ,Tiruppur,Sabarmathi Social Seva Sangam,admin@sabarmathisss.in,"B.29 - Kumaran Colony, Ammapalayamanuparpalayam Post, Tirupur - 641652", 9842-690623 ,Badhte Kadam Niramaya,Kumaraguru N
359, Tamil Nadu ,Thoothukkudi,Dymphna Special School run by Ctc Province Charitable Trust,dymphnasplschool@gmail.com,"2/236_2, Kovilpillai Vilaiarockiapuram, Thoothukudi - 628002", 7868-026413 ,,A Unit Of Ctc Province Charitable Trust
360, Tamil Nadu ,Dindigul,Srimathi Karthikeyani School for Special Children run by Kamakshi Pandarinathan Trust,kptrust2004@gmail.com,"4/385, Maharaja Nagarcollectorate Post Office, Dindigul - 624004", 9514-507000 ,,Dr.P.Sugumar
361, Tamil Nadu ,Tiruvannamalai,Peoples Craft Training Center,pctcxavi@gmail.com,"170, Cc Roadkondam-Kariyandal, Nayudumangalam - 606802", 9442-971305 ,Vikaas,Vijayaraj Mariadoss
362, Tamil Nadu ,Kanyakumari,Santhi Nilayam School for the Mentally Challenged,santhi_nilayam@yahoo.com,"12/91/B2, Paruthivilaierumbukadu Post, Nagercoil - 629004", 9487-955883 , Niramaya,Sr. Anis Theresa M.Jacob
363, Tamil Nadu ,Viluppuram,Sristi Special School A Unit Of Sristi Foundation,sristivillage@gmail.com,"Sristi Foundation, Konamangalam Villagenear School, Tindivanam - 604304", 9047-787887 ,"Badhte Kadam,Vikaas",Karthikeyan G
364, Tamil Nadu ,Chennai,Vidya Sagar,niramaya@vidyasagar.co.in,"No.1, No.1,Ranjit Road, Kotturpuramkotturpuram, Chennai - 600085", 9380-474832 , Niramaya,Radha Ramesh
365, Tamil Nadu ,The Nilgiris,Desilva Special School Centre for the Intellectually Disabled Children. Desilva Handicap Trust.,jeevadesilva92@gmail.com,"4/164_K1, Sackathanear By Government High School Aravenu, Kotagiri - 643201", 9787-556055 ,,Shanmugam.M
366, Tamil Nadu ,Dindigul,Gurukul Special School for Intellectually Disabled Children run by Lantern Charitable Trust,gurukulspecialschool@gmail.com,"H-1-5, R.M.Colonydindigul, Dindigul - 624001", 8807-636524 ,,Kaleeswaran
367, Tamil Nadu ,Madurai,Bodhi Residential Psychiatric Rehab Centre run by M.S.Chellamuthu Trust and Research Foundation,info@msctrust.org,"643, K.K.Nagarnear Anna Nagar Police Station, Madurai - 625020", 9629-911341 ,,Mr.R.Rajkumari
368, Tamil Nadu ,Karur,Maanavoo Special School and Rehabilitation Centre A Unit Of Popular Medical ... Foundation,maanavoosplschool@gmail.com,"No 1, Vadamalai Goundanursoliamman Kovil Near, Karur - 639002", 9894-044478 ,,G.Kalavathi
369, Tamil Nadu ,Theni,School for Intellectually Disabled run by Centre for Development and Communication Trust,cendect@gmail.com,"89-A/B-3,, West Streetkamatchipuram (S.O), Theni - 625520", 9443-047245 ,,Dr P Patchaimal
370, Tamil Nadu ,Kanchipuram,Aathichudy Special School run by Swastik Trust,aathichudy@yahoo.com,"208, Navalar Streetannai Indira Nagar, Konnerikuppam Village, Kanchipuram - 631502", 9444-366435 ,,V.R. Sathiavannan
371, Tamil Nadu ,Tiruvarur,Bharathamatha Special School for the Intellectual Disabled Children Unit Of Bharathamatha Foundation,bharathamatha.vo@gmail.com,"3/2B 3/2C, Main Road, Manali Post, Thiruthuraipoondi - Taluk, Thiruvarur - Districtopp. Sathangudi Bridge, Thiruthuraipoondi - 610203", 9942-227001 ,,Edaiyoor R.V. Manimaran
372, Tamil Nadu ,Chennai,Madhuram Narayanan Centre for Exceptional Children A Unit Of Bala Mandir Kamaraj Trust,mnc.chennai@gmail.com,"18, Prakasam Road, T Nagar, Chennai 600017Opp To Dass Color Labs, Chennai - 600017", 9444-019226 ,,Mrs. Jaya Krishnaswamy
373, Tamil Nadu ,Namakkal,Sivabakkiam Rehabilitation Centre for Disabled Person,sivabakkiamrcd@gmail.com,"2/80, Ayakattupalayammanathi Post, Tiruchengode Taluk - 637212", 9488-200300 ,,Kasirajan
374, Tamil Nadu ,Ramanathapuram,Chest Aangelin School for Differentlyabled run by Children Andhandicappedempowerment Service Trust,chestaangelin9@gmail.com,"25/38, North Car Streetbackside Of The Lord Shivji Temple, Ramanathapuram - 623501", 9677-212572 ,,Dhasaratha Boopathy V
375, Tamil Nadu ,Theni,Theni Social Rehabilitation and Development Trust,tesordt1@gmail.com,"8 3 8, Middle Street Vayalpattivayalpatti, Theni - 625534", 9486-735605 , Niramaya,Murugesan K
376, Tamil Nadu ,Thanjavur,Seed Trust,seedtcrescent@gmail.com,"168/2A, Srinivasa Nagarayyampettai, Ayyampettai - 614201", 9442-134286 ,,G. Rajendran
377, Tamil Nadu ,Salem,St Judes School for Mentally Challenged A Unit Of Ecomwel Orthopaedic Centre,eoclawrence@yahoo.co.in,"5.5/44.1 , Near Rc Chruch, Mgr Colony Viatharamangalam, Salem - 636502", 9443-251703 ,"Samarth,Gharaunda,Badhte Kadam Niramaya",A Lawrence
378, Tamil Nadu ,Tirunelveli,Annai Jothi Special for Intellectually Disabled A Unit Of Annai Jothi Seva Trust,ajstrust2000@gmail.com,"2/454, Main Roadadayakarumkulam, Ambasamudram - 627425", 9786-489621 ,,P.Selvakumar
379, Tamil Nadu ,Tirunelveli,Padmasri Dr Sivanthi Athithanar Special School for M R Unit Of Mahatma Gandhiji Seva Sangam,bharathicom@rediffmail.com,"58/1, East Bazzarvasudevanallur, Sivagiri Tk - 627758", 9442-066071 ,,Thavamani G
380, Tamil Nadu ,Thiruvallur,Asha School for the Mentally Retarded Children A Unit Of Asha Trust,ashamrschool@gmail.com,"No.34, Vallal Pari Street, Rajajipuramnear Tiruvallur Railway Station, Tiruvallur - 602001", 8428-523524 ,Vikaas,D Saravana
381, Tamil Nadu ,Chennai,Downs Syndrome Federation Of India,info@downsyndrome.in,"11/6 Justice Sundaram Road Luz Mylapore Chennai 600004, Behind Nageshwar Rao Park, Chennai - 600004", 9840-060817 ,,Dr. Surekha Ramachandran
382, Tamil Nadu ,Tiruchirappalli,The Spastics Society Of Tiruchirapalli,spasticsocietyoftiruchirapalli@gmail.com,"5, Revival Nagar Ramalinga Nagar South Extensionvayalur Road, Tiruchirapalli - 620017", 9345-230582 ,,Shanthakumar C
383, Tamil Nadu ,Kanchipuram,Aadhuraa Special School run by Aathichudy Trust,aadhuraa@gmail.com,"41, Murugammal Nagar, Velingapattarai, Orikkaiopp Patel Saw Mill, Kanchipuram - 631502", 9444-318518 ,,Ravishankar.G
384, Tamil Nadu ,Chennai,The Spastics Society Of Tamilnadu Spastn,thespasticssocietyoftamilnadu@gmail.com,"Csir Road, Csir Road Taramanibefore Ascendas It Park, Chennai - 600113", 8754-877598 , Niramaya,Mrs L V Jayashree
385, Tripura ,West Tripura,Voluntary Health Association Of Tripura,vha_tripura@rediffmail.com,"Opposite To Bangladesh Assistant High Commissioner Office, Circuit House Areap.O. Kunjaban, Agartala, Tripura West - 799006", 9436-129317 ,Badhte Kadam,Dr.Sreelekha Ray
386, Tripura ,West Tripura,Abhoy Mission,abhoymission@rediffmail.com,"121112, Ramnagar Road No.1P.O. Ramnagar, Agartala, West Tripura - 799002", 9436-123069 ,Gharaunda,Shyamal Deb
387, Uttarakhand ,Dehradun,Latika Roy Memorial Foundation Society,rizwan@latikaroy.org,"113, Vasant Viharphase 1, Dehradun - 248006", 9412-962832 ,,Rizwan Ali
388, Uttarakhand ,Almora,Mangal Deep Vidya Mandir,mangaldeep29@rediffmail.com,"405, Krishna Mohini Dhamkhatiyari, Almora - 263601", 9719-078741 ,,Miss. Manorama Joshi
389, Uttarakhand ,Udam Singh Nagar,Anmol Foundation,anmolfoundationksp@gmail.com,"D 11 Block - E, Rampuram Colony Bazpur Road Kashipurchaiti Choraha Kashipur, Kashipur - 244713", 9027-108984 ,,Meenakshi Devi Chauhan
390, Uttarakhand ,Dehradun,Raphael Ryder Cheshire International Centre,raphaelcentre@gmail.com,"Raphael, Po Box-157, Mohini Road End,Trans Rispana Nadi, Dehradun, Uttarakhand - 248001", 9897-297027 ,"Vikaas,Gharaunda",Mrs Priyo Lall
391, Uttarakhand ,Nainital,Srajan Spastic Society,srajanspasticsociety@gmail.com,"Opp Kapilashrami Dharmsala, Pilikothibehind Ent Hospital, Haldwani - 263139", 9411-163157 ,,N K Kandpal
392, Uttarakhand ,Haridwar,Abhiprerna Foundation,abhiprernafoundation@gmail.com,"C-62, Shivalik Nagar, B.H.E.L., Haridwar, Abhiprerna Foundationc-62, Shivalik Nagar, Bhel, Haridwar - 249403", 9319-041049 ,,Dr. Deepesh Chandra Prasad
393, Uttar Pradesh ,Ghaziabad,Bhagirath Sewa Sansthan,bssksiat@yahoo.com,"R-10/144, Raj Nagarnear Ramleela Ground Sec-10, Ghaziabad - 201002", 9810-006150 ,Vikaas,Amitabh Sukul
394, Uttar Pradesh ,Muzaffarnagar,Ashadeep Dharmarth Sewa Samiti,ashadeepdharmarth@rediffmail.com,"Ashadeep Training Institute For Mentally Challenged Children, Jansath Roadvishnu Vihar, Muzaffarnagar - 251001", 8439-928554 ,,Ved Prakash Singhal
395, Uttar Pradesh ,Azamgarh,Gyanodaya Samekit Sansthan,gyanodayup@gmail.com,"Village- Jagdishpur, Phoolpur2 Km. From Phoolpur Railway Station, Azamgarh - 276304", 9839-076462 ,,Basdev
396, Uttar Pradesh ,Ghazipur,Yaduvanshi Janta Shikshan Sansthan,yaduvanshijss09@rediffmail.com,"135, Jahurabadhazipur Baresar, Ghazipur - 233222", 9918-454611 ,"Vikaas,Badhte Kadam",Paras Nath Yadav
397, Uttar Pradesh ,Allahabad,Rotary Sponsored Crippled and Youth Welfare Society,jimars11@gmail.com,"1, Jawahar Lal Nehru Roadopp. Bhardwaj Ashram, Allahabad - 211002", 7388-601555 ,,Dr. Bhasker Banerji
398, Uttar Pradesh ,Amethi(Chatrapati Sahuji Maharaj),Gramin Pragati Sansthan,pragatigps@gmail.com,"Village Paliaya Pashchim Post Rajkheta (Jagdishpur), Ameethi, Amethi - 227809", 9473-555982 ,Gharaunda Niramaya,Ram Prakash Gupta
399, Uttar Pradesh ,Ballia,Samajik Utthan Samiti,susamiti.krishna@gmail.com,"254, Poorab Tolapoorab Tola, Ballia - 277501", 9628-385300 ,,Krishna Shankar
400, Uttar Pradesh ,Etawah,Ujala Foundation,ujalaetw@gmail.com,"Village And Post- Basrehar District- Etawah U.P., Village And Post- Basrehar District- Etawah U.P.Etawah To Farrukhabad Road, Etawah - 206253", 7037-750303 ,,Varun
401, Uttar Pradesh ,Shahjahanpur,Saraswati Gyan Mandir Shiksha Samiti,sgmashok@gmail.com,"Hathaura Bujurg, P.O.Roza Rsshahjahanpur, Shahjahanpur - 242306", 9415-528984 ,Vikaas,Ashok Kumar Yadav
402, Uttar Pradesh ,Bahraich,Baba Sunder Singh Shiksha Samiti,brhbalmeet@gmail.com,"175, Kanoongopura Southnear Police Chauki, Bahraich - 271801", 9450-427218 ,,Dr Balmeet Kaur
403, Uttar Pradesh ,Lucknow,I Support Foundation,bobby.m.ramani@gmail.com,"546, Akansha,, Eldeco Udyan 2,Near Delhi Public School,, Lucknow - 226025", 9889-121939 ,"Sahyogi,Vikaas,Disha,Badhte Kadam",Ms Bobby Moti Ramani
404, Uttar Pradesh ,Allahabad,Trishla Foundation,jjain999@gmail.com,"182C/350A, Tagore Townin Front Of Colonelganj Inter College, Prayagraj - 211002", 9415-235159 ,,Dr Jitendra Kumar Jain
405, Uttar Pradesh ,Sultanpur,Rural Informative Social Harmony Academy,1998risha@gmail.com,"Village Post - Bhain, Bhainblock Dubeypur, Sultanpur - 227808", 9936-361463 ,"Badhte Kadam,Disha,Gharaunda",Risha Kumari Verma
406, Uttar Pradesh ,Basti,Sanchit Vikas Sansthan,npsvsbasti@gmail.com,"Hasanapurp.O.Bargadwa, Basti - 272190", 9415-930242 ,"Badhte Kadam,Disha,Samarth,Gharaunda,Sahyogi,Vikaas Niramaya",Pramod Kumar
407, Uttar Pradesh ,Rae Bareli,Shubhasheesh Shiksha Evam Vikas Sewa Sansthan,shubhasheeshsansthan@yahoo.com,"E-27, Industrial Area, Site No-2,Amawan Road, Raebareli - 229001", 9415-190420 ,"Vikaas,Samarth Niramaya",Sri Dinesh Kumar Srivastava
408, Uttar Pradesh ,Mathura,Kalyanam Karoti,kalyanamkarotimathura@gmail.com,"Kalyan Dhama, Saraswati Kundmasani Delhi Link Road, Mathura - 281003", 9412-280508 , Niramaya,Sunil Kumar Sharma
409, Uttar Pradesh ,Varanasi,Dr Ram Murti Prasad Mishra Gita Foundation,gurujyoti01@gmail.com,"B 38/55-23A, Sheel Nagar Colonymahmoorganj, Varanasi - 221010", 6393-032960 ,,Ram Murti Prasad Mishra
410, Uttar Pradesh ,Lucknow,Jeevan Jyoti Samaj Sewa Sansthan,jeevanjyoti.sss@gmail.com,"D-3/560, Ruchikhand-Isharda Nagar, Lucknow - 226002", 9450-653634 ,"Badhte Kadam,Vikaas,Disha Niramaya",Sukhmi Lal
411, Uttar Pradesh ,Agra,Integrated Institute Of Rehabiliation for the Disabled (Viklang Samekit Punrwas Sansthan),iirdagra@yahoo.com,"376, Jangjeet Nagar, Rajpur Chungi, Shamshabad Roadashray Mand Budhi Sansthan, Agra - 282001", 9058-596091 ,"Samarth,Vikaas,Disha Niramaya",Yaks Joseph
412, Uttar Pradesh ,Amethi(Chatrapati Sahuji Maharaj),Adarsh Sewa Samiti,adarshsewasamiti1989@gmail.com,"Village Paliya Pashchim Post Rajkhetajagdishpur, Amethi - 227809", 9415-964400 ,,Karuna Shankar Tripathi
413, Uttar Pradesh ,Gorakhpur,Laxmisarva Viklang Sewa Samit,mkp.vksss@gmail.com,"18, Markadi Pidahni Gola Gorakhpurbadhalganj Varanasi Road Gorakhpur, Gorakhpur - 273402", 9918-116017 ,,Devraj Singh
414, Uttar Pradesh ,Ballia,Raj Kishori Devi Shikshan Prashikshan Sewa Sansthan,rajk.up101@gmail.com,"01, Babhnaulinawada Get, Ballia - 277121", 9415-659882 ,,Anjani Kumar Upadhyay
415, Uttar Pradesh ,Kanpur Nagar,Amrita Charitable Trust,centrehead@amritassc.org,"117/K/100, A-2 Sarvodaya Nagarsarvodaya Nagar, Kanpur - 208005", 7380-673555 ,,Dr. Rashmi Kapoor
416, Uttar Pradesh ,Sant Kabeer Nagar,Swami Vivekanand Shiksha and Samaj Kalyan Samiti,kksvssks@rediffmail.com,"Brahmchari , Mehdawal ,, Brahmchari, Menhdawalmehdawal , Sant Kabir Nagar, Menhdawal - 272271", 9450-559813 ,"Badhte Kadam,Gharaunda,Vikaas,Disha",Keshav Kumar Srivastava
417, Uttar Pradesh ,Allahabad,Jan Chetna Sansthan,jcsinstitute@gmail.com,"60M/44,5A, Nawab Yusuf Roadcivil Lines, Allahabad - 211001", 9415-306680 ,"Samarth,Vikaas",K N Mishra
418, Uttar Pradesh ,Basti,Shiksht Yuva Sewa Samiti,syssbasti@gmail.com,"388 (Old) / 527, Pandey Bazarmehdawal Road, Basti. - 272002", 9415-092114 ,Sahyogi,Gopal Krishna Agarwal
419, Uttar Pradesh ,Ambedkar Nagar,Lok Jagriti Sansthan,ljsambedkernager@gmail.com,"Village - Pahuti , Post - Saya, Veersingpur Pahunti Margnear Sarvdev Shakti Peeth Pahunti, Ambedkar Nagar - 224152", 9792-945817 ,"Sahyogi,Vikaas",Arti Tripathi
420, Uttar Pradesh ,Jalaun,Shri Sharda Persad Dhrmarth Sewa Sansthan,sidhushivhare@gmail.com,"H.N- 2261, New Patel Nagar Oraijaloun Road Orai, Orai - 285001", 9415-169570 ,,Sidhu Shivhare
421, Uttar Pradesh ,Baghpat,Chaudhary Dharmath Samiti,ccsime.jabid@gmail.com,"179, Chhaprauli Roadveteneory Hospital, Baraut - 250611", 9917-669000 ,,Ashok Kumar
422, Uttar Pradesh ,Lucknow,School for Potential Advancement and Restoration Of Confidence Sparc India,sparcindia95@gmail.com,"26, Gurudaya Niwas, Sachiwalaya Colonymousambagh , Sitapur Road, Lucknow - 226020", 9839-171676 ,"Vikaas,Disha",Amitabh Mehrotra
423, Uttar Pradesh ,Azamgarh,Kailashi Mahila Vikas Samiti,kailashi2013@gmail.com,"85, Vill- Dhyanipur, Post- Lohara, Dist- Azamgarhnear India Marka Hand Pump, Atruliya - 223223", 9452-418699 ,"Badhte Kadam,Disha,Vikaas,Sahyogi,Gharaunda,Samarth",Sunita Devi
424, Uttar Pradesh ,Varanasi,Nai Subah,nipvns@gmail.com,"Nai Subah, Vaishno Nagar Colony,Kanchanpur, Dlw, Varanasi - 221004", 9415-302922 ,"Badhte Kadam,Disha,Vikaas,Sahyogi Niramaya",Dr. Ajay Tiwari
425, Uttar Pradesh ,Jaunpur,Srijan Sanstha,srijansanstha@yahoo.com,"2, Kailash Chowkvill- Sungulpur, Post- Harbaspur, Jaunpur - 222001", 9140-072486 ,,Dr. Sanjay Kumar Mishra
426, Uttar Pradesh ,Varanasi,Jan Vikas Samiti,mail@janvikassamiti.org,"Jan Vikas Samiti, At+Po-Murdaha, Dist-Varanasivaranasi, Uttar Pradesh, India - 221003", 9534-040402 ,,Chandran Riymonds
427, Uttar Pradesh ,Varanasi,Deva International Society for Child Care,tulsi_discc_cv@hotmail.com,"B 21/ 100 Bind Bhavan, Kamachha Chunginear Sheesh Mahal Colony, Kamachha, Varanasi - 221010", 9415-303557 ,"Badhte Kadam,Vikaas,Disha",Dr. C. Tulsi Das
428, Uttar Pradesh ,Bareilly,Pooja Sewa Sansthan,designviews540554@yahoo.com,"H.No.1, Malik Sahab Ki Kothi,, 1,Malik Sahib Ki Kothi, Rajiv Kunj, Behind Police Stationizatnagar, Ivri Road,, Izatnagar, Ivri Road - 243122", 9568-181368 ,,Pushp Pal Singh
429, Uttar Pradesh ,Agra,Handicapped Development Council,tears_agra@yahoo.co.uk,"Phase1, Shastripuramsikandra, Agra - 282007", 9412-330530 , Niramaya,Rita Agarwal
430, Uttar Pradesh ,Kanpur Nagar,Subhash Children Society,kamalkantscs@gmail.com,"19, Rajeev Vihar Naubasta Kanpur Nagarlaxmi Vidya Mandir, Kanpur Nagar - 208023", 9935-309431 ,,Kamal Kant Tiwari
431, Uttar Pradesh ,Meerut,Meerut Children Welfare Trust,disha.mcwt@gmail.com,"F 41, Shashtri Nagar, Meerut - 250001", 9412-662907 ,,Col R.C. Sharma
432, Uttar Pradesh ,Gautam Buddha Nagar,Ponty Chadha Foundation,mbcn_vandana@yahoo.co.in,"A-12,Sec 132, Expressway Noidanext To Genesis Global School, Noida - 201301", 9711-000832 ,,Dr.Vandana Sharma
433, Uttar Pradesh ,Kanpur Nagar,The Spastics Centre,sckanpur@gmail.com,"16/99-A, Bal Bhawanphool Bagh, Kanpur - 208001", 9454-138650 , Niramaya,Meera Noronha
434, Uttar Pradesh ,Amroha ,Raj Social Welfare Society,rriyazuddin82@gmail.com,"163, Vill Malikhera Urf Shehwazpur Post Amrohamasjid Milak, Amroha - 244221", 9412-824911 ,"Disha,Badhte Kadam,Sahyogi",Riyazuddin
435, Uttar Pradesh ,Fatehpur,Shri Ram Aasare Singh Gram Vikas Shiksha Samiti Sanchalit Ma Gangadevi Divyang Sewa Sansthan,mgdssanthan@gmail.com,"1412K, Vijay Nagar Khagahandpipe, Khaga - 212655", 9889-628881 ,Vikaas Niramaya,Dev Narayan Singh
436, Uttar Pradesh ,Mau,Manav Utthan Samiti,manavutthan_samiti@yahoo.co.in,"04, Bastikhiriya, Mau Nath Bhanjan - 275103", 9452-134628 ,"Disha,Samarth,Vikaas,Badhte Kadam Niramaya",Nanhoo Chauhan
437, Uttar Pradesh ,Siddharthnagar ,Divyang Kalyan Seva Sansthan,maheshkumarpaswansdr@gmail.com,"42, Village Senduri, Post Udayraj Ganjvikas Khand Naugarh Tehsil, Shohratgarh, Distt. Sidharth Nagar - 272204", 9453-643944 ,Samarth,Arjun Kumar
438, Uttar Pradesh ,Barabanki,Gramodaya Vikas Sansthan,gramodayaup@gmail.com,"43, Fatehganj Post Sarai Rawat Haidar Garh Barabanki Roadgaramodaya, Haidargarh - 225124", 9415-072812 ,"Vikaas,Badhte Kadam,Disha",Dp Yadav
439, Uttar Pradesh ,Amroha ,Navada Gramudhyog Vikas Samiti,ngvs2008@gmail.com,"57, Mohalla Baglanavada Gramudhyog Vikas Samiti, Amroha - 244221", 9412-144548 ,Vikaas,Mr. Viqar Mehdi Naqvi
440, Uttar Pradesh ,Lalitpur,Narayan Shaikshik Evam Punrvas Samiti,mauryasunil1985@gmail.com,"259, Ajadpuranear Guru Nanak Dharamsala, Lalitpur - 284403", 9450-071705 ,,Shri Sujeet Kumar Maurya
441, Uttar Pradesh ,Budaun,Prabhat Gramodyog Sewa Sansthan,prabhat.gramodhyog@gmail.com,"Budh Vihar Budaunnear Bullet Agency Usawan Road Budaun, Budaun - 243601", 9411-087087 ,,Dharamveer Singh
442, Uttar Pradesh ,Mirzapur,Maa Baliraji Sewa Sanstha,maabaliraji@gmail.com,"Naraina, Hargarh Bazar Jignamirzapur, Mirzapur - 231313", 9918-388887 ,,Pawan Kumar Singh
443, Uttar Pradesh ,Mathura,Dr Smt Mahadevi Educational Welfare and Shodh Sansthan,dr.mahadevirehabilitation@gmail.com,"2880 / 20 A, Nh-19101 Km Stone, Kosi Kalan - 281403", 7906-279040 ,,Dr. Suresh Chand Arya
444, Uttar Pradesh ,Gonda,Gautam Buddh Shikshan Sansthan,gbss_bbn@rediffmail.com,"205, Mudhadeeha (Lorik Nagar)Post Parsa Tiwari, District Gonda - 271313", 9792-121484 ,"Vikaas,Sahyogi,Disha Niramaya",Shubhawati Devi
445, Uttar Pradesh ,Kanpur Nagar,Pushpa Khanna Memorial Centre A Unit Of Kanpur Education Society,pkmcdisha@gmail.com,"3A/161 Azad Nagar, Near Dr Tilak Chauraha, Kanpur - 208002", 7311-133337 ,,Vina Sabharwal
446, Uttar Pradesh ,Auraiya,Rajeshwari Seva Sansthan,rssup.india@gmail.com,"Kukarkat , Po Umrain, Bidhuna To Kishanee, Auraiya - 206252", 8543-835266 ,"Badhte Kadam,Vikaas,Disha,Gharaunda",Satyavir Singh
447, Uttar Pradesh ,Varanasi,Pt Rajpati Pathak Vaidhy Balika Sikshan Sanstha,panditrp2010@gmail.com,"Sarvipurtari, Varanasi - 221207", 9452-408314 ,"Disha,Vikaas Niramaya",Ashish Kumar Pathak
448, Uttar Pradesh ,Ghaziabad,Institute Of Rehabilitation,saispecialschool@rediffmail.com,"C-9, Shalimar Gardenshalimar Garden Ext.-2, Sahibabad - 201005", 9811-291150 ,Badhte Kadam Niramaya,Mrs. Manju Gupta
449, Uttar Pradesh ,Varanasi,Utkarsh Sewa Sanstha,rajuy0820@gmail.com,"Village Dautpur, Post Danganjdistt Varanasi, Varanasi - 221101", 9838-838855 ,,Raju Yadav
